"","code_location","pretty_location","group","date","code_name","value"
"79","Adams","Adams","foster_care_trend",2002,"trend_0",5.39666666666667
"80","Asotin","Asotin","foster_care_trend",2002,"trend_0",7.82
"81","Benton","Benton","foster_care_trend",2002,"trend_0",3.59
"82","Chelan","Chelan","foster_care_trend",2002,"trend_0",4.83
"83","Clallam","Clallam","foster_care_trend",2002,"trend_0",8.89
"84","Clark","Clark","foster_care_trend",2002,"trend_0",5.68
"85","Columbia","Columbia","foster_care_trend",2002,"trend_0",5.39666666666667
"86","Cowlitz","Cowlitz","foster_care_trend",2002,"trend_0",9.68
"87","Douglas","Douglas","foster_care_trend",2002,"trend_0",2.41
"88","Ferry","Ferry","foster_care_trend",2002,"trend_0",5.39666666666667
"89","Franklin","Franklin","foster_care_trend",2002,"trend_0",2.16
"90","Garfield","Garfield","foster_care_trend",2002,"trend_0",5.39666666666667
"91","Grant","Grant","foster_care_trend",2002,"trend_0",3.48
"92","Grays_Harbor","Grays Harbor","foster_care_trend",2002,"trend_0",8.25
"93","Island","Island","foster_care_trend",2002,"trend_0",3.57
"94","Jefferson","Jefferson","foster_care_trend",2002,"trend_0",3.59
"95","King","King","foster_care_trend",2002,"trend_0",3.25
"96","Kitsap","Kitsap","foster_care_trend",2002,"trend_0",6.87
"97","Kittitas","Kittitas","foster_care_trend",2002,"trend_0",4.51
"98","Klickitat","Klickitat","foster_care_trend",2002,"trend_0",6.52
"99","Lewis","Lewis","foster_care_trend",2002,"trend_0",7.01
"100","Lincoln","Lincoln","foster_care_trend",2002,"trend_0",5.39666666666667
"101","Mason","Mason","foster_care_trend",2002,"trend_0",7.37
"102","Okanogan","Okanogan","foster_care_trend",2002,"trend_0",6.41
"103","Pacific","Pacific","foster_care_trend",2002,"trend_0",8.27
"104","Pend_Oreille","Pend Oreille","foster_care_trend",2002,"trend_0",5.39666666666667
"105","Pierce","Pierce","foster_care_trend",2002,"trend_0",5.3
"106","San_Juan","San Juan","foster_care_trend",2002,"trend_0",5.39666666666667
"107","Skagit","Skagit","foster_care_trend",2002,"trend_0",4.58
"108","Skamania","Skamania","foster_care_trend",2002,"trend_0",5.39666666666667
"109","Snohomish","Snohomish","foster_care_trend",2002,"trend_0",3.36
"110","Spokane","Spokane","foster_care_trend",2002,"trend_0",6.24
"111","Stevens","Stevens","foster_care_trend",2002,"trend_0",4.61
"112","Thurston","Thurston","foster_care_trend",2002,"trend_0",4.35
